name,tagNames
Trials 2: Second Edition,Indie;Racing;Sports
Monster Trucks Nitro ,Indie;Racing;Sports
Insecticide Part 1,Action;Adventure;Female Protagonist
Velvet Assassin,Action;Stealth;Female Protagonist
Legendary,Action;FPS;Shooter
Sid Meier's Civilization IV: Colonization,Strategy;Turn-Based Strategy;Turn-Based
GROUND BRANCH,Indie;Tactical;Early Access
Tribes: Ascend,Action;FPS;Free to Play
Children of the Nile: Enhanced Edition,City Builder;Historical;Management
Children of the Nile: Alexandria,Simulation;City Builder;Management
Hinterland,Strategy;Fantasy;RPG
Mosby's Confederacy,Strategy;Historical
Crysis,Action;FPS;Sci-fi
Crysis Warhead®,Action;FPS;Sci-fi
SPORE™,Simulation;Open World;Sandbox
Mirror's Edge™,Action;First-Person;Parkour
Need for Speed Undercover,Multiplayer;Open World;Racing
SPORE™ Creepy & Cute Parts Pack,Simulation;Open World;Adventure
Dragon Age: Origins,Fantasy;RPG;Story Rich
Mass Effect,Sci-fi;RPG;Story Rich
Dead Space,Action;Sci-fi;Horror
Command & Conquer: Red Alert 3,Strategy;RTS;Base-Building
Zombie Panic! Source,Multiplayer;Free to Play;Zombies
"Pirates, Vikings, and Knights II",Action;Multiplayer;Free to Play
Nuclear Dawn,Action;FPS;Strategy
Empires Mod,Action;Free to Play;Strategy
"Precipice of Darkness, Episode One",RPG;Adventure;Comedy
"Precipice of Darkness, Episode Two",RPG;Adventure;Comedy
DeathSpank,Action;Indie;RPG
DeathSpank: Thongs of Virtue,Action;Indie;RPG
The Baconing,Action;RPG;Adventure
Unstoppable Gorg,Strategy;Indie;Tower Defense
Spectraball,Puzzle;Indie;Casual
Crazy Machines 2,Puzzle;Strategy;Casual
Crazy Machines,Puzzle;Strategy;Casual
Helldorado,Strategy;Western
Mata Hari,Adventure;Female Protagonist;Point & Click
Defense Grid: The Awakening,Sci-fi;Strategy;Tower Defense
Mayhem Intergalactic,Strategy;Indie
And Yet It Moves,Puzzle;Indie;Platformer
Zero Gear,Action;Indie;Racing
Silent Hill Homecoming,Adventure;Horror;Survival Horror
Puzzle Chronicles,Puzzle;RPG;Casual
Rocket Knight,Action;Adventure;Platformer
Biozone,Action;Casual;Adventure
Tank Universal,Action;Indie;Tanks
Space Ark,Action;Indie;Casual
Eternity's Child,Indie;Adventure;Platformer
Brothers in Arms: Earned in Blood™,Action;FPS;World War II
Tom Clancy's Rainbow Six® 3 Gold,Action;FPS;Tactical
Far Cry® 2: Fortune's Edition,Action;FPS;Open World
Prince of Persia®,Action;Adventure;Platformer
Galactic Bowling,Indie;Casual;Sports
S.T.A.L.K.E.R.: Clear Sky,Open World;Atmospheric;Post-apocalyptic
Red Faction,Action;FPS;Sci-fi
Company of Heroes: Tales of Valor,World War II;Strategy;RTS
Red Faction II,Action;FPS;Strategy
"Warhammer® 40,000: Dawn of War® II Chaos Rising",Strategy;RTS;Warhammer 40K
Starscape,Action;Strategy;Indie
Mr. Robot,Action;Strategy;Indie
Shatter,Indie;Arcade;Great Soundtrack
The Witcher: Enhanced Edition Director's Cut,Fantasy;RPG;Story Rich
The Witcher 2: Assassins of Kings Enhanced Edition,Fantasy;RPG;Mature
LEGO® Batman™: The Videogame,Action;Adventure;LEGO
Watchmen: The End is Nigh,Action;Beat 'em up;Superhero
Watchmen: The End is Nigh Part 2,Action;Beat 'em up;Superhero
F.E.A.R.,Action;FPS;Horror
F.E.A.R. 3,FPS;Co-op;Horror
LEGO® Harry Potter: Years 1-4,Action;Adventure;LEGO
Gravitron 2,Arcade
Project Aftermath,Action;Strategy;Indie
Pyroblazer®,Sci-fi;Racing
Flock!,Puzzle;Strategy;Casual
Street Fighter® IV,Action;Fighting;Arcade
Bionic Commando,Action;Adventure;Third Person
Bionic Commando: Rearmed,Action;Platformer;Remake
Resident Evil™ 5/ Biohazard 5®,Action;Zombies;Co-op
Driver® Parallel Lines,Action;Open World;Racing
Tom Clancy's EndWar™,Strategy;RTS;Tactical
Call of Juarez®: Bound in Blood,Action;FPS;Western
World of Goo,Puzzle;Indie;Physics
Mount & Blade,RPG;Open World;Medieval
Penumbra: Black Plague Gold Edition,First-Person;Adventure;Horror
Hearts of Iron 2 Complete,World War II;Strategy;Grand Strategy
Penumbra Overture,First-Person;Adventure;Horror
Zeno Clash,Action;Indie;Surreal
Rock of Ages,Strategy;Indie;Comedy
Fallout 3,RPG;Open World;Post-apocalyptic
Rogue Warrior,Action;FPS;Comedy
The Elder Scrolls III: Morrowind® Game of the Year Edition,Fantasy;RPG;Open World
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Fantasy;RPG;Open World
BRINK,Action;FPS;Multiplayer
Fallout 3: Game of the Year Edition,RPG;Open World;Post-apocalyptic
Fallout: New Vegas,RPG;Open World;Post-apocalyptic
Hunted: The Demon’s Forge™,Action;Adventure;Third Person
Spectromancer,Strategy;Card Game
Worms Reloaded,Strategy;Turn-Based;2D
Alien Breed: Impact,Action;Sci-fi;Shooter
Alien Breed 2: Assault,Action;Shooter;Isometric
Alien Breed 3: Descent,Action;Shooter;Third Person
Fluttabyes,Indie;Casual
Yosumin!™,Puzzle;Casual
Gyromancer,Puzzle;RPG;Match 3
Imperium Romanum Gold Edition,Strategy;Simulation;City Builder
Europa Universalis: Rome - Gold Edition ,Strategy;Historical;Grand Strategy
Grand Ages: Rome,Strategy;Simulation;City Builder
Ceville,Strategy;Adventure;Point & Click
Tropico 3,Strategy;Simulation;City Builder
Puzzle Quest: Galactrix,RPG;Casual;Match 3
Earth Defense Force: Insect Armageddon,Action;Co-op;Third-Person Shooter
